,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,REG_FEE,COMMIS,SALES_PRICE,Building_Age,YEAR_BUILD,YEAR OF SALES
0,Karapakkam,1004,2011-04-05,131,1,1,3,AbNormal,Yes,1967-05-15,Commercial,All Pub,Paved,A,380000,144400,7600000,43,1967,2011
1,Anna Nagar,1986,2006-12-19,26,2,1,5,AbNormal,No,1995-12-22,Commercial,All Pub,Gravel,RH,760122,304049,21717770,10,1995,2006
2,Adyar,909,2012-04-02,70,1,1,3,AbNormal,Yes,1992-09-02,Commercial,ELO,Gravel,RL,421094,92114,13159200,19,1992,2012
3,Velachery,1855,2010-03-13,14,3,2,5,Family,No,1988-03-18,Others,No Sewage,Paved,I,356321,77042,9630290,21,1988,2010
4,Karapakkam,1226,2009-05-10,84,1,1,3,AbNormal,Yes,1979-10-13,Others,All Pub,Gravel,C,237000,74063,7406250,29,1979,2009
5,Chrompet,1220,2014-11-09,36,2,1,4,Partial,No,2009-12-09,Commercial,No Sewage,No Access,RH,409027,198316,12394750,4,2009,2014
6,Chrompet,1167,2007-05-04,137,1,1,3,Partial,No,1979-12-04,Others,All Pub,No Access,RL,263152,33955,8488790,27,1979,2007
7,Velachery,1847,2006-03-13,176,3,2,5,Family,No,1996-03-15,Commercial,All Pub,Gravel,RM,604809,235204,16800250,9,1996,2006
8,Chrompet,771,2011-06-04,175,1,1,2,Adj Land,No,1977-04-14,Others,No Sewage,Paved,RM,257578,33236,8308970,34,1977,2011
9,Velachery,1635,2006-06-22,74,2,1,4,AbNormal,No,1991-06-26,Others,ELO,No Access,I,323346,121255,8083650,14,1991,2006
10,Chrompet,1203,2006-10-19,78,2,1,4,Adj Land,Yes,1978-10-26,Commercial,All Pub,No Access,RM,403326,119504,14938000,27,1978,2006
11,Chrompet,1054,2009-02-16,143,1,1,3,Partial,No,1972-02-26,Others,No Sewage,Gravel,RM,245693,141746,9449730,36,1972,2009
12,Chrompet,1196,2010-11-02,137,1,1,3,Family,No,1991-02-16,Others,No Sewage,No Access,RL,289554,35097,8774370,19,1991,2010
13,Adyar,1056,2007-01-01,83,1,1,3,Partial,Yes,1981-07-01,Others,No Sewage,Paved,RH,319141,37546,9386490,25,1981,2007
14,Velachery,1865,2010-11-11,157,3,2,5,Family,No,1956-11-24,Commercial,No Sewage,Paved,RM,619987,294494,15499680,53,1956,2010
15,Velachery,1868,2009-12-09,148,3,2,5,Family,No,2000-09-14,Commercial,No Sewage,Gravel,RH,597135,188569,15714080,9,2000,2009
16,Karapakkam,1639,2009-04-11,175,2,2,4,Normal Sale,Yes,1991-09-11,House,ELO,Gravel,I,285648,77904,8656000,17,1991,2009
17,Chrompet,796,2011-12-25,134,1,1,2,Adj Land,Yes,1975-03-01,Commercial,All Pub,No Access,RL,316464,130951,10912550,36,1975,2011
18,Adyar,1136,2008-05-04,69,1,1,3,Normal Sale,Yes,1978-04-13,Others,All Pub,Paved,A,323214,49725,8287550,30,1978,2008
19,Anna Nagar,1902,2012-02-07,168,2,1,5,Family,Yes,1970-07-13,Commercial,ELO,Paved,RL,742113,212032,21203240,41,1970,2012
20,Chrompet,1069,2013-04-19,53,1,1,3,AbNormal,Yes,2009-04-20,Others,No Sewage,Paved,RM,283544,43622,10905530,3,2009,2013
21,Chrompet,931,2008-12-13,96,1,1,3,AbNormal,Yes,1986-12-19,Others,ELO,Paved,RL,248021,27558,9185970,21,1986,2008
22,KK Nagar,2010,2009-06-05,114,3,2,5,Partial,No,1999-09-05,Others,No Sewage,Gravel,RH,327762,262210,10925400,9,1999,2009
23,Chrompet,1074,2010-07-23,100,1,1,3,AbNormal,No,1994-07-27,Others,No Sewage,Gravel,RL,288821,86646,9627380,15,1994,2010
24,T Nagar,1972,2013-05-13,111,2,1,5,Adj Land,No,2008-05-14,Others,No Sewage,No Access,RH,487297,167073,13922760,4,2008,2013
25,T Nagar,1685,2014-07-19,105,1,1,4,Family,No,1980-07-27,House,No Sewage,Gravel,RM,352830,176415,12601080,33,1980,2014
26,Adyar,1130,2011-10-11,29,1,1,3,Family,Yes,1981-11-17,Commercial,ELO,Paved,RH,468417,53533,13383350,29,1981,2011
27,Karapakkam,1301,2010-12-11,59,1,1,3,Normal Sale,Yes,2003-11-14,Others,No Sewage,Gravel,C,357283,71457,7939625,7,2003,2010
28,Adyar,730,2011-08-19,185,1,1,2,Adj Land,Yes,1972-08-28,House,ELO,Gravel,RL,265449,53090,8848285,38,1972,2011
29,T Nagar,1806,2013-08-18,138,2,1,5,Family,No,1978-08-27,House,No Sewage,Paved,RH,430852,113382,11338200,34,1978,2013
30,Anna Nagar,1981,2009-01-04,173,2,1,5,Adj Land,No,2000-03-04,House,ELO,No Access,RL,373300,218831,12872430,8,2000,2009
31,Adyar,868,2011-08-15,15,1,1,3,Normal Sale,No,2001-08-17,Others,No Sewage,Gravel,RL,325514,72336,9042050,9,2001,2011
32,T Nagar,1721,2012-03-26,117,1,1,4,Adj Land,Yes,1992-03-31,Others,ELO,Paved,RM,416483,223116,14874380,19,1992,2012
33,Velachery,1755,2006-04-28,16,2,1,4,Adj Land,Yes,1987-03-05,Others,All Pub,Gravel,A,306671,173780,10222380,19,1987,2006
34,Anna Nagar,1709,2009-11-22,130,1,1,4,Family,No,2003-11-24,Others,No Sewage,Gravel,RH,452501,90500,12928590,5,2003,2009
35,KK Nagar,2114,2010-09-05,46,3,2,5,Adj Land,Yes,1989-05-14,Commercial,No Sewage,Gravel,RH,632334,281037,17564820,21,1989,2010
36,Karapakkam,1226,2010-05-23,180,1,1,3,Normal Sale,No,1983-05-30,House,All Pub,Paved,A,154109,114339,4971250,26,1983,2010
37,Velachery,1648,2011-01-28,111,2,1,4,Family,Yes,1998-01-31,Others,No Sewage,Paved,C,275120,82536,9170660,12,1998,2011
38,Chrompet,856,2011-07-11,36,1,1,3,Adj Land,Yes,1985-11-13,Others,No Sewage,Gravel,RM,332269,103834,10383420,25,1985,2011
39,Adyar,904,2009-01-24,52,1,1,3,Adj Land,No,1969-03-02,Commercial,ELO,No Access,RM,348042,23203,11601400,39,1969,2009
40,Chrompet,1198,2012-12-21,105,1,1,3,Normal Sale,No,1976-12-30,Others,All Pub,No Access,RH,255727,98991,8249260,35,1976,2012
41,Karapakkam,931,2011-03-10,16,1,1,3,Adj Land,No,1993-07-10,Commercial,All Pub,Paved,A,291669,166668,6944500,17,1993,2011
42,Karapakkam,1290,2009-08-18,86,1,1,3,Adj Land,Yes,1961-08-30,House,All Pub,Paved,RH,364015,92940,7745000,47,1961,2009
43,Karapakkam,507,2010-03-23,49,1,1,2,AbNormal,Yes,1964-03-04,House,ELO,Gravel,RH,252032,74464,5728000,46,1964,2010
44,KK Nagar,2492,2009-06-12,113,4,2,6,AbNormal,No,1993-10-12,Commercial,No Sewage,Paved,RL,917550,224706,18725520,15,1993,2009
45,Karapakkam,851,2011-11-09,105,1,1,2,Partial,No,1982-09-18,House,All Pub,No Access,C,167896,39295,3572250,29,1982,2011
46,T Nagar,1882,2006-11-18,189,2,1,5,AbNormal,Yes,1985-11-23,Others,ELO,Gravel,RM,433393,272877,16051580,20,1985,2006
47,Anna Nagar,1710,2009-12-11,15,1,1,4,Normal Sale,Yes,1998-11-15,Commercial,All Pub,Gravel,RH,808639,161728,20215970,11,1998,2009
48,Karapakkam,1412,2010-06-11,28,2,2,4,Adj Land,No,1982-11-13,House,ELO,Gravel,RL,251370,192717,8379000,27,1982,2010
49,Adyar,779,2006-12-10,51,1,1,2,Normal Sale,No,1997-10-14,House,No Sewage,No Access,C,190463,31744,5290635,9,1997,2006
50,T Nagar,1655,2014-05-21,19,1,1,4,AbNormal,No,1980-05-29,Others,All Pub,Gravel,RH,376468,238430,12548930,33,1980,2014
51,Karapakkam,940,2010-03-04,167,1,1,3,Adj Land,No,1961-04-15,House,All Pub,Paved,RH,263599,64435,5857750,48,1961,2010
52,KK Nagar,1667,2012-02-26,126,2,1,4,Partial,Yes,2007-02-27,House,No Sewage,Paved,RM,364810,268243,10729700,4,2007,2012
53,KK Nagar,1926,2008-12-08,49,3,2,5,Family,Yes,1999-08-15,Commercial,No Sewage,Paved,RM,816325,153061,17006780,9,1999,2008
54,Adyar,718,2007-10-23,75,1,1,2,Partial,Yes,1977-10-30,Others,ELO,No Access,C,211662,55701,5570050,29,1977,2007
55,Karapakkam,545,2012-12-01,154,1,1,2,Partial,No,1982-01-19,Others,ELO,No Access,RH,165738,88651,3854375,30,1982,2012
56,Karapakkam,1249,2009-12-09,25,1,1,3,Adj Land,Yes,1973-09-21,Others,ELO,Gravel,RH,318010,120328,8594875,36,1973,2009
57,T Nagar,1894,2013-08-06,187,2,1,5,Partial,Yes,1968-06-19,House,No Sewage,Gravel,RL,406478,162591,13549250,45,1968,2013
58,Karapakkam,1469,2011-12-12,200,2,2,4,AbNormal,No,2006-12-13,Commercial,No Sewage,No Access,C,284423,132731,9480750,4,2006,2011
59,Adyar,916,2008-08-08,32,1,1,3,Normal Sale,Yes,1980-08-15,House,ELO,No Access,A,228053,23390,5847520,27,1980,2008
60,Chrompet,934,2008-04-20,11,1,1,3,Adj Land,Yes,1986-04-26,House,No Sewage,Paved,RM,310749,58265,9710900,21,1986,2008
61,Karapakkam,1691,2011-02-05,100,2,2,4,AbNormal,No,1980-09-05,House,No Sewage,Gravel,RM,319558,178576,9398750,30,1980,2011
62,Karapakkam,1236,2011-04-21,36,1,1,3,Normal Sale,No,1972-04-30,Commercial,No Sewage,Paved,I,334638,114481,8806250,38,1972,2011
63,T Nagar,1577,2007-09-28,23,1,1,4,Partial,Yes,1971-07-10,Others,No Sewage,Paved,RH,302183,193397,12087330,36,1971,2007
64,Anna Nagar,1915,2011-10-01,13,2,1,5,Partial,Yes,1970-01-20,Others,No Sewage,Gravel,RH,354391,170107,14175620,41,1970,2011
65,Anna Nagar,1600,2012-09-30,154,1,1,4,Family,Yes,1991-06-10,House,ELO,Gravel,RH,309941,166891,11920820,21,1991,2012
66,Velachery,1579,2011-10-14,58,2,1,4,AbNormal,Yes,1987-10-20,Commercial,ELO,Paved,I,467766,240565,13364730,23,1987,2011
67,Adyar,1260,2008-07-21,89,2,2,4,Partial,No,1983-07-28,Others,No Sewage,No Access,A,256150,34615,6922975,24,1983,2008
68,Adyar,1021,2009-12-22,176,1,1,3,Normal Sale,No,2004-12-23,Commercial,No Sewage,Paved,I,361868,175098,11673175,4,2004,2009
69,KK Nagar,2174,2011-10-31,48,3,2,5,Family,Yes,1988-05-11,Others,All Pub,Paved,RM,548929,313674,13069740,23,1988,2011
71,Adyar,668,2010-03-21,177,1,1,2,AbNormal,Yes,2005-03-22,Commercial,No Sewage,Gravel,I,329074,102836,10283575,4,2005,2010
72,Velachery,1724,2006-09-04,116,2,1,4,AbNormal,Yes,1952-04-22,House,ELO,No Access,RL,358259,152260,8956480,54,1952,2006
73,Adyar,890,2011-07-20,116,1,1,3,AbNormal,Yes,1981-07-27,House,No Sewage,Paved,C,251557,43124,7187350,29,1981,2011
74,Adyar,1218,2007-06-13,51,2,2,4,Normal Sale,No,1977-06-20,Commercial,All Pub,No Access,I,377246,138323,12574850,29,1977,2007
75,Anna Nagar,1792,2011-02-21,41,1,1,4,Family,Yes,1990-02-26,House,ELO,Gravel,RM,514532,250313,13906270,20,1990,2011
76,Karapakkam,1378,2012-02-19,192,2,2,4,Adj Land,No,2003-02-21,Others,No Sewage,Gravel,RM,297525,208268,9917500,8,2003,2012
